entity1,relation,entity2
buspirone noun,hypernym,minor tranquilizer noun
glareolidae noun,hypernym,bird family noun
bellow noun,derivationally related form,yowl verb
felis noun,member meronym,wildcat noun
hard cider noun,hypernym,cider noun
walk verb,derivationally related form,walker noun
guvnor noun,hypernym,boss noun
trust noun,hypernym,consortium noun
pars distilis noun,hypernym,endocrine gland noun
outcrop noun,hypernym,rock noun
anesthesia noun,derivationally related form,anesthesiologist noun
perplex verb,derivationally related form,stupefaction noun
continue verb,derivationally related form,preservation noun
inflate verb,derivationally related form,inflation noun
complicate verb,derivationally related form,refinement noun
outshine verb,hypernym,surpass verb
rain noun,hypernym,sequence noun
respiratory adjective,derivationally related form,respire verb
empty verb,derivationally related form,emptying noun
compass noun,hypernym,capability noun
glide noun,hypernym,flight noun
physical adjective,derivationally related form,materiality noun
expedient adjective,also see,convenient adjective
motley verb,derivationally related form,motley noun
rearrangement noun,hypernym,arrangement noun
enclosure noun,derivationally related form,envelop verb
point verb,derivationally related form,point noun
remuneration noun,hypernym,payment noun
digression noun,derivationally related form,digress verb
mouth noun,has part,lip noun
falconidae noun,member meronym,falcon noun
transmutation noun,hypernym,change noun
hash out verb,hypernym,talk of verb
break verb,derivationally related form,breakable adjective
quechua noun,hypernym,south american indian noun
counselor noun,hypernym,adviser noun
revise verb,derivationally related form,rewriting noun
rat snake noun,hypernym,colubrid snake noun
dame noun,hypernym,woman noun
calvatia noun,hypernym,fungus genus noun
room noun,has part,wall noun
springbok noun,hypernym,gazelle noun
pharmacist noun,derivationally related form,pharmacy noun
sleeping noun,has part,dream noun
ordinary adjective,also see,common adjective
bump verb,hypernym,hit verb
music noun,hypernym,sound noun
iraq noun,has part,assur noun
involve verb,derivationally related form,involvement noun
front bench noun,hypernym,seat noun
girl noun,derivationally related form,girlhood noun
apocynaceae noun,member meronym,genus allamanda noun
bulge verb,derivationally related form,bulge noun
passionate adjective,also see,hot adjective
freshen verb,derivationally related form,refreshment noun
circulation noun,has part,blood pressure noun
beggar verb,derivationally related form,pauperization noun
passing noun,derivationally related form,pass verb
symbolizing noun,hypernym,figuration noun
playing period noun,has part,chukker noun
phonetician noun,hypernym,linguist noun
edit verb,derivationally related form,redact noun
advertiser noun,derivationally related form,advertise verb
gable noun,instance hypernym,actor noun
outlaw verb,derivationally related form,lawlessness noun
uncheerfulness noun,hypernym,attribute noun
passage noun,hypernym,delivery noun
calculator noun,derivationally related form,calculate verb
make up verb,derivationally related form,makeup noun
grok verb,derivationally related form,comprehensible adjective
truck noun,has part,stabilizer bar noun
false pretense noun,hypernym,misdemeanor noun
natural language processing noun,hypernym,information science noun
covering noun,derivationally related form,cover verb
repair verb,derivationally related form,repair noun
patron saint noun,hypernym,saint noun
japanese deer noun,hypernym,deer noun
dictate noun,hypernym,rule noun
discontented adjective,derivationally related form,discontentment noun
agreement noun,derivationally related form,match verb
knockout noun,derivationally related form,knock cold verb
coattails effect noun,synset domain topic of,politics noun
oscines noun,member meronym,paridae noun
sales talk noun,derivationally related form,peddle verb
ulex noun,member meronym,gorse noun
relaxer noun,derivationally related form,relax verb
notch noun,derivationally related form,nick verb
individualize verb,hypernym,distinguish verb
old testament noun,hypernym,will noun
vulnerability noun,derivationally related form,vulnerable adjective
contradiction noun,synset domain topic of,logic noun
commission verb,hypernym,authorize verb
petrocoptis noun,hypernym,caryophylloid dicot genus noun
marbleize verb,derivationally related form,marbleization noun
ingenuous adjective,derivationally related form,artlessness noun
nyctalopia noun,hypernym,visual impairment noun
begin verb,verb group,begin verb
genus tetrahymena noun,hypernym,protoctist genus noun
incontrovertibility noun,hypernym,indisputability noun
uganda noun,has part,lake edward noun
operation noun,derivationally related form,function verb
chatterer noun,derivationally related form,chatter verb
disgustingness noun,derivationally related form,unsavory adjective
drawing noun,derivationally related form,draftsman noun
radar noun,has part,waveguide noun
explication noun,hypernym,explanation noun
example noun,hypernym,admonition noun
playing field noun,has part,midfield noun
morris noun,instance hypernym,craftsman noun
prumnopitys noun,member meronym,miro noun
bottom noun,derivationally related form,bottom verb
reprieve verb,derivationally related form,reprieve noun
blenniidae noun,member meronym,blenny noun
trailing four o'clock noun,hypernym,wildflower noun
doctrine noun,derivationally related form,philosophic adjective
simonize verb,derivationally related form,simoniz noun
schedule verb,derivationally related form,scheduling noun
parulidae noun,member meronym,icteria noun
calycanthaceae noun,member meronym,calycanthus noun
pioneer noun,derivationally related form,initiate verb
travel verb,also see,continue verb
syllogize verb,derivationally related form,syllogism noun
upper jaw noun,hypernym,jaw noun
harvey noun,instance hypernym,doctor noun
wise adjective,derivationally related form,wisdom noun
isopyrum noun,member meronym,false rue anemone noun
bos noun,hypernym,mammal genus noun
war game noun,synset domain topic of,military noun
scutigeridae noun,member meronym,scutigera noun
hygrophorus noun,hypernym,fungus genus noun
drive verb,derivationally related form,campaign noun
settle verb,derivationally related form,settlement noun
worker noun,hypernym,person noun
lady fern noun,hypernym,fern noun
apartment noun,hypernym,housing noun
ayah noun,hypernym,domestic noun
type verb,derivationally related form,type noun
netherlands noun,has part,frisian islands noun
chief of staff noun,hypernym,military officer noun
gleditsia noun,hypernym,rosid dicot genus noun
star noun,hypernym,celestial body noun
deification noun,derivationally related form,laud verb
comparable adjective,also see,equal adjective
exultation noun,derivationally related form,exult verb
patroller noun,hypernym,watchman noun
concentration noun,derivationally related form,reduce verb
regeneration noun,derivationally related form,regenerate verb
cuculiformes noun,member meronym,musophagidae noun
germany noun,member of domain region,schadenfreude noun
climax noun,derivationally related form,culminate verb
mallee noun,hypernym,eucalyptus noun
departure noun,derivationally related form,go verb
act verb,derivationally related form,actable adjective
slope verb,derivationally related form,inclination noun
sunfish noun,hypernym,percoid fish noun
love noun,derivationally related form,love verb
consultation noun,derivationally related form,confer verb
offspring noun,derivationally related form,happen verb
evanescence noun,derivationally related form,evanesce verb
impressionistic adjective,derivationally related form,impression noun
misgiving noun,derivationally related form,distrust verb
minority noun,derivationally related form,minor adjective
lustrum noun,synset domain topic of,antiquity noun
spring verb,hypernym,unwrap verb
abstract verb,hypernym,consider verb
beech fern noun,hypernym,fern noun
meclofenamate noun,hypernym,nonsteroidal anti-inflammatory noun
viscum noun,hypernym,dilleniid dicot genus noun
fedayeen saddam noun,hypernym,paramilitary noun
holder noun,hypernym,owner noun
lagidium noun,hypernym,mammal genus noun
colloquialism noun,member of domain usage,firewater noun
escalade verb,hypernym,climb verb
cool adjective,also see,unfriendly adjective
confederacy noun,member meronym,florida noun
citizenry noun,derivationally related form,people verb
sideritis noun,hypernym,asterid dicot genus noun
fissurella noun,hypernym,mollusk genus noun
condolence noun,hypernym,acknowledgment noun
chittagong noun,instance hypernym,city noun
govern verb,hypernym,necessitate verb
leipzig noun,instance hypernym,city noun
crier noun,hypernym,roarer noun
automatic pistol noun,hypernym,automatic firearm noun
road map noun,hypernym,map noun
meaningless adjective,derivationally related form,nonsense noun
drinker noun,derivationally related form,drink verb
professionalize verb,verb group,professionalize verb
mulloway noun,hypernym,sciaenid fish noun
neuroglia noun,has part,neurogliacyte noun
hyla noun,hypernym,amphibian genus noun
reconstruction noun,derivationally related form,reconstruct verb
stooge verb,hypernym,act verb
sound noun,hypernym,sound property noun
appointee noun,hypernym,official noun
depilatory noun,hypernym,cosmetic noun
impression noun,derivationally related form,impressionistic adjective
help verb,derivationally related form,aid noun
city limit noun,hypernym,limit noun
hand noun,hypernym,extremity noun
ready noun,derivationally related form,fix verb
little dipper noun,instance hypernym,asterism noun
weather map noun,has part,isotherm noun
military personnel noun,synset domain topic of,military noun
mali noun,instance hypernym,african country noun
yellowstone noun,instance hypernym,river noun
compose verb,derivationally related form,compilation noun
guardianship noun,derivationally related form,defender noun
bus terminal noun,hypernym,terminal noun
testator noun,hypernym,person noun
odonata noun,member meronym,odonate noun
barge verb,hypernym,transport verb
petit jury noun,hypernym,jury noun
exhibition noun,hypernym,presentation noun
model verb,derivationally related form,modeler noun
difficult adjective,derivationally related form,difficulty noun
deterioration noun,derivationally related form,deteriorate verb
master verb,derivationally related form,command noun
detachment noun,derivationally related form,disengage verb
exuberance noun,hypernym,enthusiasm noun
progress noun,derivationally related form,advance verb
baader meinhof gang noun,synset domain topic of,terrorism noun
insignia noun,hypernym,badge noun
leader noun,derivationally related form,leadership noun
momism noun,hypernym,protection noun
passer noun,hypernym,person noun
babble verb,derivationally related form,chatterer noun
spying noun,hypernym,intelligence noun
united kingdom noun,member of domain region,quadrillion noun
simaroubaceae noun,member meronym,simarouba noun
pusher noun,derivationally related form,push verb
plaintiff noun,hypernym,litigant noun
cry verb,derivationally related form,cry noun
precede verb,hypernym,travel verb
chronology noun,hypernym,humanistic discipline noun
hyperventilation noun,hypernym,breathing noun
atlantic noun,has part,british isles noun
jellify verb,derivationally related form,jelly noun
refrigerate verb,hypernym,preserve verb
brim verb,derivationally related form,brim noun
quarterback noun,derivationally related form,quarterback verb
fencing noun,derivationally related form,fence verb
rakaposhi noun,instance hypernym,mountain peak noun
trouble verb,derivationally related form,irritation noun
smell noun,derivationally related form,smell verb
sambre noun,instance hypernym,river noun
commissary noun,synset domain topic of,military noun
terrorize verb,derivationally related form,panic noun
ionize verb,derivationally related form,ionization noun
float verb,derivationally related form,swimming noun
petromyzoniformes noun,hypernym,animal order noun
filicales noun,member meronym,blechnaceae noun
oberson noun,synset domain topic of,middle ages noun
transfer verb,derivationally related form,transferer noun
half track noun,hypernym,military vehicle noun
meet verb,derivationally related form,meeting noun
cottager noun,hypernym,inhabitant noun
raise verb,derivationally related form,ascent noun
dwelling noun,has part,bedroom noun
israel noun,has part,jerusalem noun
mounter noun,derivationally related form,climb verb
revel verb,hypernym,celebrate verb
point after noun,hypernym,point noun
formica noun,member meronym,wood ant noun
clean adjective,also see,tidy adjective
ethics noun,derivationally related form,ethicist noun
aesthetic satellite adjective,similar to,tasteful adjective
reality noun,hypernym,actuality noun
unjust adjective,also see,wrong adjective
hyracoidea noun,member meronym,procaviidae noun
disintegrate verb,synset domain topic of,physics noun
transdermal adjective,synset domain topic of,pharmacology noun
contradance verb,hypernym,dance verb
show verb,hypernym,show verb
lid noun,hypernym,top noun
establishment noun,derivationally related form,prove verb
slip verb,hypernym,worsen verb
aristotelian noun,hypernym,disciple noun
permeate verb,derivationally related form,diffuser noun
whole noun,derivationally related form,mix verb
scrounge verb,derivationally related form,foraging noun
plane noun,hypernym,power tool noun
menticirrhus noun,hypernym,fish genus noun
hate noun,hypernym,emotion noun
eon noun,has part,era noun
spatial property noun,hypernym,property noun
genus echinocactus noun,member meronym,echinocactus noun
dive verb,hypernym,descend verb
asclepiadaceae noun,member meronym,vincetoxicum noun
vice noun,hypernym,transgression noun
responsiveness noun,hypernym,sensitivity noun
portia tree noun,hypernym,tulipwood tree noun
tomatillo noun,has part,tomatillo noun
hole verb,hypernym,hit verb
standardize verb,derivationally related form,standard noun
juneberry noun,hypernym,shrub noun
jackson noun,instance hypernym,actress noun
precedent noun,derivationally related form,predate verb
military noun,hypernym,force noun
voting system noun,synset domain topic of,law noun
detroit noun,instance hypernym,port noun
seasnail noun,hypernym,gastropod noun
television noun,has part,audio noun
deterioration noun,derivationally related form,devolve verb
colloquialism noun,member of domain usage,townee noun
dig noun,derivationally related form,jab verb
salesclerk noun,derivationally related form,clerkship noun
cuculiform bird noun,hypernym,bird noun
refractoriness noun,hypernym,intractability noun
vesiculate verb,hypernym,change verb
skid verb,derivationally related form,skid noun
eucalyptus noun,hypernym,gum tree noun
microscope noun,hypernym,magnifier noun
tender verb,derivationally related form,tender adjective
pritzelago noun,hypernym,dilleniid dicot genus noun
family room noun,hypernym,recreation room noun
cover verb,verb group,embrace verb
kilohertz noun,has part,hertz noun
lack noun,derivationally related form,deficient satellite adjective
coriolis effect noun,synset domain topic of,physics noun
practitioner noun,hypernym,professional noun
thirty years' war noun,instance hypernym,war noun
bacon noun,instance hypernym,philosopher noun
liberation noun,hypernym,attempt noun
obstruction noun,hypernym,structure noun
superiority noun,derivationally related form,superior adjective
submit verb,derivationally related form,submissive adjective
pontederiaceae noun,hypernym,monocot family noun
sufficient adjective,derivationally related form,sufficiency noun
disarming noun,hypernym,demobilization noun
boost noun,derivationally related form,promote verb
variability noun,derivationally related form,variable adjective
solidus noun,hypernym,punctuation noun
cell noun,derivationally related form,cellular adjective
mercifulness noun,hypernym,humaneness noun
egotist noun,derivationally related form,ego noun
rationality noun,derivationally related form,rational adjective
precook verb,synset domain topic of,cooking noun
mismarry verb,hypernym,marry verb
abrocoma noun,member meronym,abrocome noun
gram noun,has part,obolus noun
television noun,synset domain topic of,television noun
event noun,hypernym,psychological feature noun
siphonophora noun,member meronym,physalia noun
old man noun,hypernym,oldster noun
precise adjective,also see,accurate adjective
filibuster verb,derivationally related form,filibuster noun
argue verb,hypernym,converse verb
hatefulness noun,derivationally related form,hateful adjective
united kingdom noun,member of domain usage,pedestrian crossing noun
craftsman noun,derivationally related form,craft noun
triakidae noun,member meronym,mustelus noun
inclination noun,hypernym,angle noun
careen verb,derivationally related form,shift noun
explore verb,derivationally related form,exploratory adjective
dick noun,hypernym,detective noun
ranunculaceae noun,member meronym,caltha noun
enliven verb,derivationally related form,animation noun
united kingdom noun,member of domain region,rock salmon noun
nourish verb,derivationally related form,nutriment noun
acipenseridae noun,hypernym,fish family noun
grade verb,derivationally related form,grader noun
jaw noun,derivationally related form,chew verb
carbon dioxide noun,hypernym,dioxide noun
casualty noun,synset domain topic of,military noun
treasure noun,hypernym,possession noun
united kingdom noun,member of domain region,slate club noun
compositae noun,member meronym,grindelia noun
hayloft noun,derivationally related form,mow verb
engineer verb,derivationally related form,engineer noun
istanbul noun,has part,chalcedon noun
plural noun,member of domain usage,military quarters noun
contrast verb,derivationally related form,line noun
force verb,also see,screw verb
variable adjective,derivationally related form,variability noun
practice noun,derivationally related form,pattern verb
act verb,derivationally related form,theatrical performance noun
thrill verb,derivationally related form,frisson noun
hatch noun,derivationally related form,hatch verb
beacon hill noun,instance hypernym,city district noun
command noun,derivationally related form,bid verb
east malaysia noun,has part,sarawak noun
offer verb,hypernym,market verb
outpoint verb,hypernym,beat verb
copy verb,derivationally related form,copying noun
minnesota noun,has part,saint cloud noun
lasiocampidae noun,member meronym,malacosoma noun
pervert noun,derivationally related form,corrupt verb
americanize verb,derivationally related form,american adjective
mutant noun,derivationally related form,mutate verb
adult female body noun,hypernym,female body noun
staff noun,hypernym,force noun
dwarf grey willow noun,hypernym,willow noun
west indies noun,has part,bahamas noun
snare drum noun,hypernym,drum noun
flaky adjective,derivationally related form,bit noun
bruges noun,instance hypernym,city noun
slavic noun,hypernym,balto-slavic noun
deflection noun,hypernym,physical property noun
tube noun,has part,cathode noun
hazelnut noun,has part,hazelnut noun
testis noun,has part,vas deferens noun
align verb,hypernym,stand verb
cup noun,derivationally related form,cup verb
rivina noun,hypernym,caryophylloid dicot genus noun
small indefinite quantity noun,hypernym,indefinite quantity noun
pertain verb,derivationally related form,accessory noun
foul noun,hypernym,violation noun
amplification noun,hypernym,expansion noun
kilohertz noun,hypernym,rate noun
chasten verb,derivationally related form,temper noun
firepower noun,hypernym,military capability noun
draft noun,hypernym,negotiable instrument noun
oxidize verb,verb group,rust verb
smell verb,hypernym,cause to be perceived verb
solidify verb,derivationally related form,hardening noun
scuffle verb,hypernym,contend verb
audience noun,hypernym,gathering noun
labiatae noun,member meronym,micromeria noun
confess verb,derivationally related form,informer noun
gran santiago noun,instance hypernym,national capital noun
terrorist organization noun,synset domain topic of,terrorism noun
sarda noun,hypernym,fish genus noun
mail verb,derivationally related form,mail noun
idol noun,hypernym,effigy noun
strategic warning noun,hypernym,warning noun
harshness noun,derivationally related form,coarse adjective
choir verb,derivationally related form,choir noun
gauge verb,derivationally related form,gauge noun
sternness noun,hypernym,asperity noun
tax income noun,hypernym,government income noun
walk verb,hypernym,score verb
spatterdock noun,hypernym,water lily noun
unworldly adjective,also see,pious adjective
dhahran noun,instance hypernym,town noun
miserliness noun,hypernym,meanness noun
algeria noun,instance hypernym,african country noun
work verb,verb group,work verb
south america noun,member meronym,south american noun
absence without leave noun,synset domain topic of,military noun
desorb verb,derivationally related form,desorption noun
sign noun,derivationally related form,sign verb
catostomidae noun,hypernym,fish family noun
surrogate noun,derivationally related form,understudy verb
armenian noun,derivationally related form,armenian adjective
arrow wood noun,hypernym,shrub noun
fart verb,hypernym,act involuntarily verb
mulberry noun,hypernym,fruit tree noun
poverty trap noun,hypernym,situation noun
chip verb,derivationally related form,chip noun
confront verb,derivationally related form,confrontation noun
department of defense noun,has part,national geospatial-intelligence agency noun
atlantic noun,has part,long island sound noun
brassica noun,member meronym,mustard noun
ancestry noun,hypernym,inheritance noun
asbat al-ansar noun,synset domain topic of,terrorism noun
arithmetic mean noun,hypernym,mean noun
mottle verb,derivationally related form,spot noun
permutation noun,derivationally related form,permute verb
mask noun,derivationally related form,mask verb
sarcodina noun,member meronym,rhizopoda noun
maniraptora noun,member meronym,maniraptor noun
lawyer-client relation noun,synset domain topic of,law noun
piece noun,derivationally related form,assemble verb
dekker noun,instance hypernym,dramatist noun
rachmaninoff noun,instance hypernym,pianist noun
putoff noun,derivationally related form,postpone verb
monologue noun,hypernym,actor's line noun
ruby wood noun,hypernym,wood noun
archaism noun,member of domain usage,compass verb
resection noun,hypernym,operation noun
umbelliferae noun,member meronym,daucus noun
action verb,derivationally related form,legal action noun
fortunella noun,hypernym,rosid dicot genus noun
vouch verb,hypernym,confirm verb
pose verb,derivationally related form,imposture noun
rhyncostylis noun,hypernym,monocot genus noun
strip noun,hypernym,nude dancing noun
second baseman noun,synset domain topic of,softball noun
guest night noun,hypernym,evening noun
colombia noun,has part,cartagena noun
zenaidura noun,hypernym,bird genus noun
salvage verb,derivationally related form,salvage noun
abstraction noun,derivationally related form,abstract verb
yellow jasmine noun,hypernym,vine noun
tidal flow noun,hypernym,current noun
gulf of mexico noun,instance hypernym,gulf noun
megabyte noun,has part,kilobyte noun
americanize verb,derivationally related form,american noun
erode verb,derivationally related form,erosion noun
yellow oleander noun,hypernym,shrub noun
scotland noun,member of domain region,ben noun
city noun,has part,city district noun
incriminate verb,derivationally related form,incrimination noun
effeminacy noun,derivationally related form,unmanly adjective
compulsory satellite adjective,derivationally related form,mandate verb
crush verb,derivationally related form,crusher noun
pay verb,hypernym,give verb
sutler noun,derivationally related form,provision verb
push noun,derivationally related form,thrust verb
liquid noun,hypernym,state of matter noun
tennis noun,has part,return noun
lilt verb,hypernym,pronounce verb
sicily noun,has part,messina noun
conveyance noun,hypernym,instrumentality noun
talk verb,derivationally related form,speaker noun
dissociation noun,derivationally related form,dissociate verb
recruiter noun,hypernym,supplier noun
erythroxylon noun,hypernym,plant genus noun
sewing noun,derivationally related form,sew verb
raise verb,derivationally related form,evocation noun
sponge verb,derivationally related form,sponge noun
india noun,member of domain region,godown noun
scrub oak noun,hypernym,oak noun
spiritize verb,derivationally related form,spirit noun
co-sign verb,hypernym,validate verb
sperry noun,instance hypernym,inventor noun
plumeria noun,member meronym,frangipani noun
cybercrime noun,hypernym,crime noun
ottoman empire noun,instance hypernym,empire noun
ostracodermi noun,hypernym,animal order noun
dramatization noun,derivationally related form,dramatize verb
steal verb,also see,slip away verb
perfection noun,derivationally related form,perfectionist noun
carolina noun,has part,north carolina noun
eye noun,has part,central artery of the retina noun
appalachia noun,instance hypernym,geographical area noun
egyptian noun,hypernym,african noun
string verb,derivationally related form,bodkin noun
united kingdom noun,member of domain usage,peanut oil noun
demote verb,hypernym,delegate verb
united kingdom noun,member of domain region,admiralty noun
emasculate verb,derivationally related form,castration noun
program music noun,hypernym,musical composition noun
emboss verb,derivationally related form,stamp noun
pieridae noun,hypernym,arthropod family noun
shop verb,hypernym,obtain verb
hater noun,hypernym,person noun
relief noun,derivationally related form,still verb
dishonor verb,derivationally related form,dishonor noun
new jersey noun,has part,delaware bay noun
ear noun,hypernym,sense organ noun
emergence noun,derivationally related form,come forth verb
bridle verb,hypernym,restrain verb
lameness noun,derivationally related form,limp verb
insincere adjective,also see,false adjective
act verb,synset domain topic of,performing arts noun
social climber noun,hypernym,upstart noun
computer memory unit noun,hypernym,unit of measurement noun
invitation noun,derivationally related form,invite verb
manna grass noun,hypernym,meadowgrass noun
mycobacteria noun,hypernym,eubacteria noun
tend verb,hypernym,attend verb
europe noun,has part,switzerland noun
ceftriaxone noun,hypernym,cephalosporin noun
air force research laboratory noun,instance hypernym,agency noun
smother verb,hypernym,kill verb
stichaeidae noun,member meronym,lumpenus noun
unwrap verb,derivationally related form,divulgence noun
spanish needles noun,hypernym,bur marigold noun
military formation noun,synset domain topic of,military noun
useful adjective,also see,helpful adjective
twist verb,hypernym,shape verb
carbon steel noun,hypernym,steel noun
quadrivium noun,hypernym,humanistic discipline noun
authorize verb,derivationally related form,pass noun
breakable adjective,derivationally related form,break verb
intensity noun,derivationally related form,intensify verb
entozoic adjective,derivationally related form,endoparasite noun
division eubacteria noun,member meronym,eubacteriales noun
tetraodontidae noun,member meronym,puffer noun
process noun,derivationally related form,operate verb
jointed charlock noun,hypernym,weed noun
metric capacity unit noun,hypernym,metric unit noun
film verb,synset domain topic of,movie noun
accompany verb,hypernym,travel verb
chaplain noun,derivationally related form,chaplaincy noun
slash noun,hypernym,land noun
jab verb,derivationally related form,jab noun
miscalculation noun,derivationally related form,miscalculate verb
subsistence noun,derivationally related form,exist verb
do verb,derivationally related form,actor noun
guy fawkes day noun,hypernym,november 5 noun
